customer_id,customer_name,phone,city
CUST001,Ravi Kumar,9876543210,Chennai
CUST002,Anitha Devi,9876543211,Coimbatore
CUST003,Suresh Raj,9876543212,Madurai
CUST004,Meena Lakshmi,9876543213,Salem
CUST005,Arun Prakash,9876543214,Trichy
CUST006,Kavitha R,9876543215,Erode
CUST007,Manoj Kumar,9876543216,Vellore
CUST008,Priya S,9876543217,Tirunelveli
CUST009,Karthik M,9876543218,Thoothukudi
CUST010,Divya N,9876543219,Chennai
CUST011,Sathish P,9876543220,Coimbatore
CUST012,Revathi G,9876543221,Madurai
CUST013,Vijay A,9876543222,Salem
CUST014,Nandhini K,9876543223,Trichy
CUST015,Pradeep R,9876543224,Erode
CUST016,Keerthana S,9876543225,Vellore
CUST017,Bala Murugan,9876543226,Tirunelveli
CUST018,Shalini P,9876543227,Thoothukudi
CUST019,Rajesh K,9876543228,Chennai
CUST020,Pooja M,9876543229,Coimbatore
